Episode,Total Steps,Episode Reward,Average Reward,Best Reward,Actor Loss,Critic Loss,Actor LR,Buffer Size
195,14223,2.1499999999999275,0.802999999999988,17.55000000000025,-17.876354217529297,4.907033443450928,3e-05,14223
196,14284,-0.600000000000052,0.7664999999999879,17.55000000000025,0,5.080585956573486,3e-05,14284
197,14334,-2.250000000000024,0.7124999999999884,17.55000000000025,0,3.8752851486206055,3e-05,14334
198,14429,-1.8000000000000975,0.6674999999999878,17.55000000000025,-17.533349990844727,4.474145889282227,3e-05,14429
199,14491,-0.7000000000000526,0.633499999999988,17.55000000000025,-17.972644805908203,4.264931678771973,3e-05,14491
200,14550,-0.9500000000000464,0.512999999999985,17.55000000000025,0,4.48799991607666,3e-05,14550
201,14609,-0.9500000000000499,0.492499999999985,17.55000000000025,-17.998136520385742,4.504430770874023,3e-05,14609
202,14662,-2.0000000000000027,0.4409999999999853,17.55000000000025,0,4.006806373596191,3e-05,14662
203,14719,-1.3000000000000433,0.42149999999998544,17.55000000000025,-17.801185607910156,4.949978351593018,3e-05,14719
204,14769,-2.249999999999986,0.4144999999999864,17.55000000000025,-17.795204162597656,4.661534309387207,3e-05,14769
205,14821,-1.8999999999999941,0.3809999999999871,17.55000000000025,-17.799209594726562,4.92098331451416,3e-05,14821
206,14873,-1.9000000000000083,0.3224999999999878,17.55000000000025,-18.03057289123535,4.907946586608887,3e-05,14873
207,14966,0.04999999999990745,0.2769999999999874,17.55000000000025,0,4.48225212097168,3e-05,14966
208,15016,-2.2499999999999876,0.255999999999988,17.55000000000025,0,4.5400166511535645,3e-05,15016
209,15090,-0.2500000000000675,0.2374999999999881,17.55000000000025,0,4.499852180480957,3e-05,15090
210,15145,-1.650000000000027,0.1854999999999885,17.55000000000025,-17.708040237426758,4.706299304962158,3e-05,15145
211,15243,-2.650000000000099,0.13199999999998813,17.55000000000025,-17.929750442504883,4.713165760040283,3e-05,15243
212,15298,-1.6500000000000137,0.08499999999998863,17.55000000000025,0,4.578408241271973,3e-05,15298
213,15364,0.549999999999943,0.05549999999998872,17.55000000000025,0,3.8761603832244873,3e-05,15364
214,15451,1.1999999999999655,0.03599999999998894,17.55000000000025,-18.03167724609375,4.237628936767578,3e-05,15451
215,15505,-1.5500000000000433,-0.019000000000013166,17.55000000000025,-17.797405242919922,4.023622512817383,3e-05,15505
216,15552,-2.499999999999984,-0.0935000000000148,17.55000000000025,0,4.5224409103393555,3e-05,15552
217,15639,-4.8500000000000405,-0.1405000000000147,17.55000000000025,-18.064088821411133,4.551846504211426,3e-05,15639
218,15692,-2.0000000000000178,-0.2000000000000159,17.55000000000025,0,4.381821155548096,3e-05,15692
219,15813,-6.600000000000059,-0.36400000000001853,17.55000000000025,-17.997089385986328,5.362867832183838,3e-05,15813
220,15870,-1.300000000000046,-0.40050000000001845,17.55000000000025,0,4.303286552429199,3e-05,15870
221,15936,-5.3290705182007514e-14,-0.4275000000000185,17.55000000000025,0,4.8139142990112305,3e-05,15936
222,15989,-2.000000000000032,-0.4745000000000179,17.55000000000025,-17.731769561767578,4.439361572265625,3e-05,15989
223,16042,-1.9999999999999973,-0.5260000000000177,17.55000000000025,0,4.502233505249023,3e-05,16042
224,16089,-2.499999999999984,-0.5905000000000169,17.55000000000025,-17.79206657409668,4.299661636352539,3e-05,16089
225,16139,-2.249999999999983,-0.6350000000000161,17.55000000000025,-17.834959030151367,4.519784450531006,3e-05,16139
226,16220,0.6999999999999238,-0.7625000000000187,17.55000000000025,0,4.15669584274292,3e-05,16220
227,16304,0.39999999999991953,-0.7915000000000192,17.55000000000025,0,4.84896183013916,3e-05,16304
228,16371,0.9999999999999458,-0.8050000000000191,17.55000000000025,-17.619503021240234,4.631802558898926,3e-05,16371
229,16456,4.700000000000204,-0.7690000000000167,17.55000000000025,0,4.5654096603393555,3e-05,16456
230,16506,-2.2500000000000018,-0.794500000000016,17.55000000000025,0,4.670346260070801,3e-05,16506
231,16601,-2.350000000000051,-0.859500000000017,17.55000000000025,-17.894948959350586,4.778882026672363,3e-05,16601
232,16656,-1.6500000000000457,-0.899500000000017,17.55000000000025,0,4.000905990600586,3e-05,16656
233,16708,-1.900000000000019,-0.9680000000000191,17.55000000000025,0,4.222107887268066,3e-05,16708
234,16792,1.4999999999999245,-0.9280000000000199,17.55000000000025,0,4.519122123718262,3e-05,16792
235,16868,3.3999999999999337,-0.8715000000000205,17.55000000000025,0,4.652562141418457,3e-05,16868
236,16918,-2.250000000000006,-0.8880000000000201,17.55000000000025,0,4.109825134277344,3e-05,16918
237,16996,-1.7500000000000755,-0.9190000000000201,17.55000000000025,0,4.885412216186523,3e-05,16996
238,17048,-1.9000000000000048,-0.9685000000000216,17.55000000000025,0,4.2586750984191895,3e-05,17048
239,17100,-1.8999999999999844,-1.037500000000023,17.55000000000025,0,4.753503322601318,3e-05,17100
240,17157,-1.300000000000047,-1.028000000000024,17.55000000000025,-18.010982513427734,4.904088973999023,3e-05,17157
241,17207,-2.249999999999985,-1.0280000000000238,17.55000000000025,-17.682573318481445,3.8208112716674805,3e-05,17207
